[rosmaster.master][INFO] 2019-03-18 14:55:50,895: +SERVICE [/aggregation_node_00_06_66_E7_8E_BD/get_loggers] /aggregation_node_00_06_66_E7_8E_BD http://chiliPC:34539/
[rosmaster.master][INFO] 2019-03-18 14:55:50,895: +SERVICE [/sensor_node_00_06_66_E7_8E_BD/get_loggers] /sensor_node_00_06_66_E7_8E_BD http://chiliPC:36417/
[rosmaster.master][INFO] 2019-03-18 14:55:50,896: +SERVICE [/rosout/set_logger_level] /rosout http://chiliPC:38135/
[rosmaster.master][INFO] 2019-03-18 14:55:50,897: +SERVICE [/aggregation_node_00_06_66_E7_8A_D6/get_loggers] /aggregation_node_00_06_66_E7_8A_D6 http://chiliPC:37089/
[rosmaster.master][INFO] 2019-03-18 14:55:50,897: +SERVICE [/sensor_node_00_06_66_D2_CF_7B/get_loggers] /sensor_node_00_06_66_D2_CF_7B http://chiliPC:37453/
[rosmaster.master][INFO] 2019-03-18 14:55:50,898: +SERVICE [/aggregation_node_00_06_66_D2_CF_7B/get_loggers] /aggregation_node_00_06_66_D2_CF_7B http://chiliPC:43551/
[rosmaster.master][INFO] 2019-03-18 14:55:50,899: +SERVICE [/tf_echo_00_06_66_E7_8E_BD/get_loggers] /tf_echo_00_06_66_E7_8E_BD http://chiliPC:36361/
[rosmaster.master][INFO] 2019-03-18 14:55:50,899: +SERVICE [/tf_echo_00_06_66_E7_8A_D6/get_loggers] /tf_echo_00_06_66_E7_8A_D6 http://chiliPC:33115/
[rosmaster.master][INFO] 2019-03-18 14:55:50,900: +SERVICE [/tf_echo_00_06_66_D2_CF_7B/get_loggers] /tf_echo_00_06_66_D2_CF_7B http://chiliPC:35661/
[rosmaster.master][INFO] 2019-03-18 14:55:50,901: +SERVICE [/paper_world_broadcaster/set_logger_level] /paper_world_broadcaster http://chiliPC:35007/
