[rosmaster.master][INFO] 2019-03-18 14:23:22,029: +SERVICE [/sensor_node_00_06_66_D2_CF_7B/get_loggers] /sensor_node_00_06_66_D2_CF_7B http://chiliPC:39497/
[rosmaster.master][INFO] 2019-03-18 14:23:22,029: +SERVICE [/rosout/set_logger_level] /rosout http://chiliPC:38217/
[rosmaster.master][INFO] 2019-03-18 14:23:22,030: +SERVICE [/sensor_node_00_06_66_E7_8A_D6/get_loggers] /sensor_node_00_06_66_E7_8A_D6 http://chiliPC:42481/
[rosmaster.master][INFO] 2019-03-18 14:23:22,031: +SERVICE [/aggregation_node_00_06_66_E7_8A_D6/get_loggers] /aggregation_node_00_06_66_E7_8A_D6 http://chiliPC:41979/
[rosmaster.master][INFO] 2019-03-18 14:23:22,031: +SERVICE [/aggregation_node_00_06_66_E7_8E_BD/get_loggers] /aggregation_node_00_06_66_E7_8E_BD http://chiliPC:40679/
[rosmaster.master][INFO] 2019-03-18 14:23:22,032: +SERVICE [/sensor_node_00_06_66_E7_8E_BD/get_loggers] /sensor_node_00_06_66_E7_8E_BD http://chiliPC:43265/
[rosmaster.master][INFO] 2019-03-18 14:23:22,033: +SERVICE [/tf_echo_00_06_66_E7_8E_BD/get_loggers] /tf_echo_00_06_66_E7_8E_BD http://chiliPC:39643/
[rosmaster.master][INFO] 2019-03-18 14:23:22,034: +SERVICE [/aggregation_node_00_06_66_D2_CF_7B/get_loggers] /aggregation_node_00_06_66_D2_CF_7B http://chiliPC:33115/
[rosmaster.master][INFO] 2019-03-18 14:23:22,034: +SERVICE [/paper_world_broadcaster/get_loggers] /paper_world_broadcaster http://chiliPC:46167/
[rosmaster.master][INFO] 2019-03-18 14:23:22,035: +SERVICE [/tf_echo_00_06_66_E7_8A_D6/set_logger_level] /tf_echo_00_06_66_E7_8A_D6 http://chiliPC:46111/
[rosmaster.master][INFO] 2019-03-18 14:23:22,036: +SERVICE [/tf_echo_00_06_66_D2_CF_7B/set_logger_level] /tf_echo_00_06_66_D2_CF_7B http://chiliPC:45041/
[rosmaster.master][INFO] 2019-03-18 14:23:22,036: +SERVICE [/sensor_node_00_06_66_D2_CF_7B/set_logger_level] /sensor_node_00_06_66_D2_CF_7B http://chiliPC:39497/
[rosmaster.master][INFO] 2019-03-18 14:23:22,037: +SERVICE [/sensor_node_00_06_66_E7_8A_D6/set_logger_level] /sensor_node_00_06_66_E7_8A_D6 http://chiliPC:42481/
[rosmaster.master][INFO] 2019-03-18 14:23:22,038: +SERVICE [/aggregation_node_00_06_66_E7_8A_D6/set_logger_level] /aggregation_node_00_06_66_E7_8A_D6 http://chiliPC:41979/
[rosmaster.master][INFO] 2019-03-18 14:23:22,039: +SERVICE [/aggregation_node_00_06_66_E7_8E_BD/set_logger_level] /aggregation_node_00_06_66_E7_8E_BD http://chiliPC:40679/
[rosmaster.master][INFO] 2019-03-18 14:23:22,039: +SERVICE [/sensor_node_00_06_66_E7_8E_BD/set_logger_level] /sensor_node_00_06_66_E7_8E_BD http://chiliPC:43265/
[rosmaster.master][INFO] 2019-03-18 14:23:22,040: +SERVICE [/tf_echo_00_06_66_E7_8E_BD/set_logger_level] /tf_echo_00_06_66_E7_8E_BD http://chiliPC:39643/
[rosmaster.master][INFO] 2019-03-18 14:23:22,041: +SERVICE [/aggregation_node_00_06_66_D2_CF_7B/set_logger_level] /aggregation_node_00_06_66_D2_CF_7B http://chiliPC:33115/
[rosmaster.master][INFO] 2019-03-18 14:23:22,042: +SERVICE [/paper_world_broadcaster/set_logger_level] /paper_world_broadcaster http://chiliPC:46167/
[rosmaster.master][INFO] 2019-03-18 14:23:22,044: +PUB [/rosout_agg] /rosout http://chiliPC:38217/
[rosmaster.master][INFO] 2019-03-18 14:23:22,055: +PUB [/tf_static] /paper_world_broadcaster http://chiliPC:46167/
[rosmaster.master][INFO] 2019-03-18 14:23:22,080: +SUB [/rosout] /rosout http://chiliPC:38217/
[rosmaster.master][INFO] 2019-03-18 14:23:22,084: +SUB [/tf] /tf_echo_00_06_66_E7_8A_D6 http://chiliPC:46111/
[rosmaster.master][INFO] 2019-03-18 14:23:22,084: +SUB [/tf] /tf_echo_00_06_66_D2_CF_7B http://chiliPC:45041/
[rosmaster.master][INFO] 2019-03-18 14:23:22,088: +SUB [/tf] /tf_echo_00_06_66_E7_8E_BD http://chiliPC:39643/
[rosmaster.master][INFO] 2019-03-18 14:23:22,090: +SUB [/setThetaDis] /aggregation_node_00_06_66_E7_8A_D6 http://chiliPC:41979/
[rosmaster.master][INFO] 2019-03-18 14:23:22,092: +SUB [/setThetaDis] /aggregation_node_00_06_66_E7_8E_BD http://chiliPC:40679/
[rosmaster.master][INFO] 2019-03-18 14:23:22,093: +SUB [/setThetaDis] /aggregation_node_00_06_66_D2_CF_7B http://chiliPC:33115/
[rosmaster.master][INFO] 2019-03-18 14:23:22,096: +PUB [/cellulo_node_00_06_66_E7_8A_D6/setGoalVelocity] /aggregation_node_00_06_66_E7_8A_D6 http://chiliPC:41979/
[rosmaster.master][INFO] 2019-03-18 14:23:22,097: +PUB [/cellulo_node_00_06_66_E7_8E_BD/setGoalVelocity] /aggregation_node_00_06_66_E7_8E_BD http://chiliPC:40679/
